id,especie,ultima_modificacion,altura,circ_tronco_cm,diametro_tronco,long,lat,seccion,nombre_seccion,area_seccion,inclinacion_peligrosa,circ_tronco_cm_cat
3,Fresno europeo,02/03/2012 13:26,Bajo (2 - 4 mts),52,Mediano,-68.8574212649,-32.8959944483,5,Residencial Sur,2423808.92355,no,bajo
5,Morera,02/03/2012 13:23,Medio (4 - 8 mts),70,Grande,-68.8574080472,-32.8958575989,5,Residencial Sur,2423808.92355,no,medio
7,Morera,02/03/2012 13:19,Medio (4 - 8 mts),110,Grande,-68.8572981214,-32.8958308493,5,Residencial Sur,2423808.92355,no,medio
8,Morera,02/03/2012 13:13,Medio (4 - 8 mts),54,Mediano,-68.8572185354,-32.895838834,5,Residencial Sur,2423808.92355,no,bajo
10,Morera,02/03/2012 13:10,Medio (4 - 8 mts),100,Grande,-68.8570828523,-32.8958536317,5,Residencial Sur,2423808.92355,no,medio
12,Morera,02/03/2012 13:07,Medio (4 - 8 mts),100,Grande,-68.8569486959,-32.8958654194,5,Residencial Sur,2423808.92355,no,medio
15,Morera,02/03/2012 13:04,Bajo (2 - 4 mts),56,Mediano,-68.8567599137,-32.8958801479,5,Residencial Sur,2423808.92355,si,bajo
19,Fresno americano,02/03/2012 12:56,Bajo (2 - 4 mts),34,Mediano,-68.8565423331,-32.8958979197,5,Residencial Sur,2423808.92355,no,bajo
20,Fresno europeo,02/03/2012 12:55,Bajo (2 - 4 mts),36,Mediano,-68.8564561132,-32.8959077601,5,Residencial Sur,2423808.92355,no,bajo
21,Fresno europeo,02/03/2012 12:54,Bajo (2 - 4 mts),40,Mediano,-68.8563617906,-32.8959157273,5,Residencial Sur,2423808.92355,no,bajo
24,Fresno europeo,02/03/2012 12:51,Bajo (2 - 4 mts),44,Mediano,-68.8560821871,-32.8959409192,5,Residencial Sur,2423808.92355,no,bajo
25,Fresno europeo,02/03/2012 12:50,Bajo (2 - 4 mts),70,Grande,-68.8559930265,-32.8959464079,5,Residencial Sur,2423808.92355,no,medio
26,Morera,01/03/2012 13:42,Medio (4 - 8 mts),190,Grande,-68.8559333348,-32.8959537934,5,Residencial Sur,2423808.92355,no,alto
27,Jacarand,01/03/2012 13:41,Bajo (2 - 4 mts),18,Chico,-68.8558670144,-32.8959593075,5,Residencial Sur,2423808.92355,no,bajo
29,Fresno europeo,01/03/2012 13:38,Bajo (2 - 4 mts),70,Grande,-68.8557244552,-32.8959760507,5,Residencial Sur,2423808.92355,no,medio
33,Morera,01/03/2012 13:29,Medio (4 - 8 mts),130,Grande,-68.8554978524,-32.896116955,5,Residencial Sur,2423808.92355,no,alto
36,Morera,01/03/2012 13:22,Medio (4 - 8 mts),180,Grande,-68.8555115869,-32.8962997301,5,Residencial Sur,2423808.92355,no,alto
38,Fresno europeo,01/03/2012 13:19,Bajo (2 - 4 mts),54,Mediano,-68.8555195434,-32.8964048593,5,Residencial Sur,2423808.92355,no,bajo
41,Fresno europeo,01/03/2012 12:45,Bajo (2 - 4 mts),38,Mediano,-68.8555333966,-32.8965863857,5,Residencial Sur,2423808.92355,no,bajo
43,Olmo bola,01/03/2012 12:42,Medio (4 - 8 mts),160,Grande,-68.8555456877,-32.8967214732,5,Residencial Sur,2423808.92355,no,alto
46,Fresno europeo,01/03/2012 12:38,Bajo (2 - 4 mts),16,Chico,-68.8556066986,-32.8968926954,5,Residencial Sur,2423808.92355,no,bajo
47,Morera,01/03/2012 08:23,Medio (4 - 8 mts),150,Grande,-68.8557135396,-32.8968884698,5,Residencial Sur,2423808.92355,no,alto
50,Fresno europeo,01/03/2012 08:19,Medio (4 - 8 mts),160,Grande,-68.8559959252,-32.8968869126,5,Residencial Sur,2423808.92355,no,alto
54,Morera,01/03/2012 08:13,Medio (4 - 8 mts),180,Grande,-68.8563977544,-32.8968842892,5,Residencial Sur,2423808.92355,no,alto
55,Morera,01/03/2012 08:12,Medio (4 - 8 mts),120,Grande,-68.8564928055,-32.8968819132,5,Residencial Sur,2423808.92355,no,medio
